"Substance","X.1","X","ChemClass","pKa","MW","Tm","Pvap25","Sol25","Kaw25","Kow","Ksw","Kp.col","Kp.susp","Kp.sed","Kp.soil","RadS","RhoS","hamakerSP.w","Shape","Longest_side","Intermediate_side","Shortest_side"
"Benzaldehyde, 2,4-dihydroxy-",393,394,"acid",7.33,138.12,NA,0.004933333,16100,NA,33.88441561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BENZALDEHYDE, 3-ETHOXY-4-HYDROXY-",394,395,"neutral",NA,166.18,NA,0.001386667,2820,NA,38.01893963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Benzaldehyde, 4-(diethylamino)-2-hydroxy-",395,396,"acid",8.24,193.25,NA,0.006426667,186.5,NA,660.693448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Benzaldehyde, 5-bromo-2-hydroxy-",396,397,"acid",7.55,201.02,NA,0.0716,100,NA,794.3282347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Benzaldehyde, 5-chloro-2-hydroxy-",397,398,"acid",7.58,156.57,NA,0.104,1467,NA,446.6835922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Benzenamine, 2-chloro-4-methyl-",398,399,"base",3.05,141.6,NA,17.46666666,953.9,NA,186.2087137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Benzenamine, 2-ethyl-6-methyl-",399,400,"base",3.93,135.21,NA,9.893333331,467.3,NA,457.0881896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Benzenamine, 2,6-bis(1-methylethyl)-",400,401,"base",3.31,177.29,NA,2.493333333,109.2,NA,1513.561248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Benzenamine, 4-(4-chlorophenoxy)-",401,402,"base",3.75,219.67,NA,0.00332,20.57,NA,6025.595861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BENZENAMINE, 4-BUTYL-",402,403,"base",5.11,149.24,NA,1.333333333,190,NA,1122.018454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Benzenamine, N-ethyl-2-methyl-",403,404,"base",5.07,135.21,NA,21.46666666,467.3,NA,457.0881896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"benzene",404,405,"",NA,78,5,10000,1800,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Benzene, 1-(1,1-dimethylethyl)-3,5-dimethyl-2,4,",405,406,"neutral",NA,297.27,NA,8.47e-05,0.8214,NA,28183.82931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BENZENE, 1-CHLORO-2-METHYL-3-NITRO-",406,407,"neutral",NA,171.58,NA,5.026666665,56.56,NA,1230.268771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Benzene, 1-chloro-4-methyl-2-nitro-",407,408,"neutral",NA,171.58,NA,2.013333333,67.18,NA,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Benzene, 1-methoxy-4-(2-propenyl)-",408,409,"neutral",NA,148.21,NA,21.99999999,178,NA,2951.209227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Benzene, 1,1'-sulfonylbis 4-chloro-",409,410,"neutral",NA,287.16,NA,0.000107867,6.861,NA,7943.282347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Benzene, 1,2-dichloro-3-methoxy-",410,411,"neutral",NA,177.03,NA,17.46666666,86.9,NA,1737.800829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Benzeneacetic acid, ,alpha,-ethyl-",411,412,"acid",4.41,164.21,NA,0.933333333,2235,NA,151.3561248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BENZENEMETHANAMINE, N-(1-METHYLETHYL)-",412,413,"base",9.78,149.24,NA,48.13333332,21310,NA,67.60829754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BENZENEMETHANOL, 2-CHLORO-",413,414,"neutral",NA,142.59,NA,0.508,8137,NA,58.88436554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Benzenemethanol, 4-bromo-",414,415,"neutral",NA,187.04,NA,0.209333333,2200,NA,93.32543008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BENZENESULFONIC ACID, 4-AMINO-",415,416,"acid",3.34,173.19,NA,3.49e-07,10800,NA,0.00691831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Benzenesulfonic acid, dodecyloxydi-, disodium salt",416,417,"neutral",NA,542.62,NA,3.12e-19,0.5617,NA,2041.737945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BENZENESULFONYL CHLORIDE",417,418,"neutral",NA,176.62,NA,7.733333331,175.9,NA,870.96359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BENZIDINE DIHYDROCHLORIDE",418,419,"base",3.98,184.24,NA,0.000119733,322,NA,21.87761624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BENZO(B)THIOPHENE S,S-DIOXIDE",419,420,"neutral",NA,166.2,NA,0.137333333,11360,NA,7.58577575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BENZO(H)QUINOLINE",420,421,"base",4.21,179.22,NA,0.029066667,78.7,NA,2691.534804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Benzoic acid, 2-(4-chlorobenzoyl)-",421,422,"acid",4.36,260.68,NA,3.49e-05,500,NA,2137.96209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BENZOIC ACID, 4-(TERT-BUTYL)-",422,423,"acid",4.4,178.23,NA,0.010613333,28,NA,7079.457844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Benzonitrile, 4-fluoro-",423,424,"neutral",NA,121.11,NA,62.26666665,1763,NA,54.95408739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"benzothiazole-2-thiol",424,425,"",NA,167,180,0.00011,330,NA,260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
