VarName,SubCompart,Species,Substance,Waarde,SB4N_name,Unit
kdeag,river,Large,TRWP,2.7e-8,NA,s-1
kdeag,river,Small,Chitosan,0,NA,s-1
kdeag,river,Small,GO-Chitosan,0,NA,s-1
kdeag,river,Small,Graphene Oxide,0,NA,s-1
kdeag,river,Small,microplastic,0,NA,s-1
kdeag,river,Small,nAg_10nm,0,NA,s-1
kdeag,river,Small,nC60_10nm,0,NA,s-1
kdeag,river,Small,nTiO2_10nm,0,NA,s-1
kdeag,river,Small,nZnO,0,NA,s-1
kdeag,river,Small,TRWP,2.7e-8,NA,s-1
kdeag,sea,Large,Chitosan,0,NA,s-1
kdeag,sea,Large,GO-Chitosan,0,NA,s-1
kdeag,sea,Large,Graphene Oxide,0,NA,s-1
kdeag,sea,Large,microplastic,0,NA,s-1
kdeag,sea,Large,nAg_10nm,0,NA,s-1
kdeag,sea,Large,nC60_10nm,0,NA,s-1
kdeag,sea,Large,nTiO2_10nm,0,NA,s-1
kdeag,sea,Large,nZnO,0,NA,s-1
kdeag,sea,Large,TRWP,2.7e-8,NA,s-1
kdeag,sea,Small,Chitosan,0,NA,s-1
kdeag,sea,Small,GO-Chitosan,0,NA,s-1
kdeag,sea,Small,Graphene Oxide,0,NA,s-1
kdeag,sea,Small,microplastic,0,NA,s-1
kdeag,sea,Small,nAg_10nm,0,NA,s-1
kdeag,sea,Small,nC60_10nm,0,NA,s-1
kdeag,sea,Small,nTiO2_10nm,0,NA,s-1
kdeag,sea,Small,nZnO,0,NA,s-1
kdeag,sea,Small,TRWP,2.7e-8,NA,s-1
kdeg,agriculturalsoil,Large,microplastic,3e-11,NA,s-1
kdeg,agriculturalsoil,Large,TRWP,3e-11,NA,s-1
kdeg,agriculturalsoil,Small,microplastic,3e-11,NA,s-1
kdeg,agriculturalsoil,Small,TRWP,3e-11,NA,s-1
kdeg,agriculturalsoil,Solid,microplastic,3e-11,kdeg.s,s-1
kdeg,agriculturalsoil,Solid,TRWP,3e-11,kdeg.s,s-1
kdeg,air,Large,microplastic,0,NA,s-1
kdeg,air,Large,TRWP,0,NA,s-1
kdeg,air,Small,microplastic,0,NA,s-1
kdeg,air,Small,TRWP,0,NA,s-1
kdeg,air,Solid,microplastic,0,kdeg.a,s-1
kdeg,air,Solid,TRWP,0,kdeg.a,s-1
kdeg,deepocean,Large,microplastic,1e-10,NA,s-1
kdeg,deepocean,Large,TRWP,1e-10,NA,s-1
kdeg,deepocean,Small,microplastic,1e-10,NA,s-1
kdeg,deepocean,Small,TRWP,1e-10,NA,s-1
kdeg,deepocean,Solid,microplastic,1e-10,kdeg.w3,s-1
kdeg,deepocean,Solid,TRWP,1e-10,kdeg.w3,s-1
kdeg,freshwatersediment,Large,microplastic,3e-11,NA,s-1
kdeg,freshwatersediment,Large,TRWP,3e-11,NA,s-1
kdeg,freshwatersediment,Small,microplastic,3e-11,NA,s-1
kdeg,freshwatersediment,Small,TRWP,3e-11,NA,s-1
kdeg,freshwatersediment,Solid,microplastic,3e-11,kdeg.sd,s-1
kdeg,freshwatersediment,Solid,TRWP,3e-11,kdeg.sd,s-1
kdeg,lake,Large,microplastic,1e-10,NA,s-1
kdeg,lake,Large,TRWP,1e-10,NA,s-1
kdeg,lake,Small,microplastic,1e-10,NA,s-1
kdeg,lake,Small,TRWP,1e-10,NA,s-1
kdeg,lake,Solid,microplastic,1e-10,kdeg.w1,s-1
kdeg,lake,Solid,TRWP,1e-10,kdeg.w1,s-1
kdeg,lakesediment,Large,microplastic,3e-11,NA,s-1
kdeg,lakesediment,Large,TRWP,3e-11,NA,s-1
kdeg,lakesediment,Small,microplastic,3e-11,NA,s-1
kdeg,lakesediment,Small,TRWP,3e-11,NA,s-1
kdeg,lakesediment,Solid,microplastic,3e-11,kdeg.sd,s-1
kdeg,lakesediment,Solid,TRWP,3e-11,kdeg.sd,s-1
kdeg,marinesediment,Large,microplastic,3e-11,NA,s-1
kdeg,marinesediment,Large,TRWP,3e-11,NA,s-1
kdeg,marinesediment,Small,microplastic,3e-11,NA,s-1
kdeg,marinesediment,Small,TRWP,3e-11,NA,s-1
kdeg,marinesediment,Solid,microplastic,3e-11,kdeg.sd,s-1
kdeg,marinesediment,Solid,TRWP,3e-11,kdeg.sd,s-1
kdeg,naturalsoil,Large,microplastic,3e-11,NA,s-1
kdeg,naturalsoil,Large,TRWP,3e-11,NA,s-1
kdeg,naturalsoil,Small,microplastic,3e-11,NA,s-1
kdeg,naturalsoil,Small,TRWP,3e-11,NA,s-1
kdeg,naturalsoil,Solid,microplastic,3e-11,kdeg.s,s-1
kdeg,naturalsoil,Solid,TRWP,3e-11,kdeg.s,s-1
kdeg,othersoil,Large,microplastic,3e-11,NA,s-1
kdeg,othersoil,Large,TRWP,3e-11,NA,s-1
kdeg,othersoil,Small,microplastic,3e-11,NA,s-1
kdeg,othersoil,Small,TRWP,3e-11,NA,s-1
kdeg,othersoil,Solid,microplastic,3e-11,kdeg.s,s-1
kdeg,othersoil,Solid,TRWP,3e-11,kdeg.s,s-1
kdeg,river,Large,microplastic,1e-10,NA,s-1
kdeg,river,Large,TRWP,1e-10,NA,s-1
kdeg,river,Small,microplastic,1e-10,NA,s-1
kdeg,river,Small,TRWP,1e-10,NA,s-1
kdeg,river,Solid,microplastic,1e-10,kdeg.w1,s-1
kdeg,river,Solid,TRWP,1e-10,kdeg.w1,s-1
kdeg,sea,Large,microplastic,1e-10,NA,s-1
kdeg,sea,Large,TRWP,1e-10,NA,s-1
kdeg,sea,Small,microplastic,1e-10,NA,s-1
kdeg,sea,Small,TRWP,1e-10,NA,s-1
kdeg,sea,Solid,microplastic,1e-10,kdeg.w2,s-1
kdeg,sea,Solid,TRWP,1e-10,kdeg.w2,s-1
kdis,agriculturalsoil,Large,microplastic,0,NA,s-1
kdis,agriculturalsoil,Large,nAg_10nm,4.87e-6,NA,s-1
kdis,agriculturalsoil,Large,nC60_10nm,0,NA,s-1
kdis,agriculturalsoil,Large,nTiO2_10nm,1e-13,kdis.s2P.s2D,s-1
kdis,agriculturalsoil,Large,nZnO,1e-6,NA,s-1
kdis,agriculturalsoil,Large,TRWP,0,NA,s-1
kdis,agriculturalsoil,Small,microplastic,0,NA,s-1
kdis,agriculturalsoil,Small,nAg_10nm,4.87e-6,NA,s-1
kdis,agriculturalsoil,Small,nC60_10nm,0,NA,s-1
kdis,agriculturalsoil,Small,nTiO2_10nm,1e-13,kdis.s2A.s2D,s-1
kdis,agriculturalsoil,Small,nZnO,1e-6,NA,s-1
kdis,agriculturalsoil,Small,TRWP,0,NA,s-1
kdis,agriculturalsoil,Solid,microplastic,0,NA,s-1
kdis,agriculturalsoil,Solid,nAg_10nm,4.87e-6,NA,s-1
